hs,desc
340391,lubricating preparations including cutting oil preparations bolt or nut release preparations antirust or anticorrosion preparations and mold release preparations based on lubricants and preparations of a kind used for the oil or grease treatment of textile materials leather furskins or materials but excluding preparations containing as basic constituents 70 percent or more by weight of petroleum oils or oils obtained from bituminous minerals preparations for the treatment of textile materials leather furskins or materials preparations for the treatment of textile materials
340399,lubricating preparations including cutting oil preparations bolt or nut release preparations antirust or anticorrosion preparations and mold release preparations based on lubricants and preparations of a kind used for the oil or grease treatment of textile materials leather furskins or materials but excluding preparations containing as basic constituents 70 percent or more by weight of petroleum oils or oils obtained from bituminous minerals
340420,artificial waxes and prepared waxes of poly oxyethylene polyethylene glycol
340490,artificial waxes and prepared waxes containing bleached beeswax of chemically modified lignite
340510,polishes and creams for footwear furniture floors coachwork glass or metal scouring pastes and powders and similar preparations whether or not in the form of paper wadding felt nonwovens cellular plastics or cellular rubber impregnated coated or covered with such preparations excluding waxes of heading 3404 polishes creams and similar preparations for footwear or leather
340520,polishes and creams for footwear furniture floors coachwork glass or metal scouring pastes and powders and similar preparations whether or not in the form of paper wadding felt nonwovens cellular plastics or cellular rubber impregnated coated or covered with such preparations excluding waxes of heading 3404 polishes creams and similar preparations for the maintenance of wooden furniture floors or woodwork
340530,polishes and creams for footwear furniture floors coachwork glass or metal scouring pastes and powders and similar preparations whether or not in the form of paper wadding felt nonwovens cellular plastics or cellular rubber impregnated coated or covered with such preparations excluding waxes of heading 3404 polishes and similar preparations for coachwork than metal polishes
340540,polishes and creams for footwear furniture floors coachwork glass or metal scouring pastes and powders and similar preparations whether or not in the form of paper wadding felt nonwovens cellular plastics or cellular rubber impregnated coated or covered with such preparations excluding waxes of heading 3404 scouring pastes and powders and scouring preparations
340590,polishes and creams for footwear furniture floors coachwork glass or metal scouring pastes and powders and similar preparations whether or not in the form of paper wadding felt nonwovens cellular plastics or cellular rubber impregnated coated or covered with such preparations excluding waxes of heading 3404
340600,candles tapers and the like
340700,modeling pastes including those put up for children s amusement preparations known as dental wax or as dental impression compounds put up in sets in packings for retail sale or in plates horseshoe shapes sticks or similar forms preparations for use in dentistry with a basis of plaster of calcined gypsum or calcium sulfate modeling pastes including those put up for children s amusement
350110,casein caseinates and casein derivatives casein glues casein milk protein concentrate
350190,casein caseinates and casein derivatives casein glues casein glues
350211,albumins including concentrates of two or more whey proteins containing by weight more than 80 percent whey proteins calculated on the dry matter albuminates and albumin derivatives egg albumin dried
350219,albumins including concentrates of two or more whey proteins containing by weight more than 80 percent whey proteins calculated on the dry matter albuminates and albumin derivatives egg albumin
350220,albumins including concentrates of two or more whey proteins containing by weight more than 80 percent whey proteins calculated on the dry matter albuminates and albumin derivatives milk albumin including concentrates of two or more whey proteins
350290,albumins including concentrates of two or more whey proteins containing by weight more than 80 percent whey proteins calculated on the dry matter albuminates and albumin derivatives
350300,gelatin including gelatin in rectangular including square sheets whether or not surfaceworked or colored and gelatin derivatives isinglass glues of animal origin excluding casein glues of heading 3501 fish glue inedible gelatin and animal glue valued under 88 cents per kg photographic gelatin valued 88 cents or more per kg edible gelatin
350400,peptones and their derivatives protein substances and their derivatives not elsewhere specified or included hide powder whether or not chromed protein isolates
350510,dextrins and modified starches for example pregelatinized or esterified starches glues based on starches or on dextrins or modified starches dextrins and modified starches dextrin derived from potato starch derived from corn maize starch
350520,dextrins and modified starches for example pregelatinized or esterified starches glues based on starches or on dextrins or modified starches glues
350610,prepared glues and prepared adhesives not elsewhere specified or included products suitable for use as glues or adhesives put up for retail sale as glues or adhesives not exceeding a net weight of 1 kg products suitable for use as glues or adhesives put up for retail sale as glues or adhesives not exceeding a net weight of 1 kg animal glue including casein glue but not including fish glue
350691,prepared glues and prepared adhesives not elsewhere specified or included products suitable for use as glues or adhesives put up for retail sale as glues or adhesives not exceeding a net weight of 1 kg adhesives based on polymers of headings 3901 to 3913 or on rubber optically clear free film adhesives and optically clear curable liquid adhesives of a kind used solely or principally for the manufacture of flat panel displays or touch sensitive screen panels
350699,prepared glues and prepared adhesives not elsewhere specified or included products suitable for use as glues or adhesives put up for retail sale as glues or adhesives not exceeding a net weight of 1 kg
350710,enzymes prepared enzymes not elsewhere specified or included rennet and concentrates thereof
350790,enzymes prepared enzymes not elsewhere specified or included pencillin g amidase
360100,propellant powders
360200,prepared explosives than propellant powders dynamite and high explosives put up in cartridges sticks or forms suitable for blasting
360300,safety fuses detonating fuses percussion or detonating caps igniters electric detonators safety fuses or detonating fuses detonating caps igniters or electric detonators percussion caps detonating caps electric detonators igniters safety fuses detonating fuses
360410,fireworks signaling flares rain rockets fog signals and pyrotechnic articles fireworks including class 1 4g display or special fireworks class 1 3g class 1 4g class c
360490,fireworks signaling flares rain rockets fog signals and pyrotechnic articles including class 1 4g
360500,matches than pyrotechnic articles of heading 3604 matches with natural wood stems
360610,ferrocerium and pyrophoric alloys in all forms articles of combustible materials as specified in note 2 to this chapter liquid or liquefied gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm3
360690,ferrocerium and pyrophoric alloys in all forms articles of combustible materials as specified in note 2 to this chapter ferrocerium and pyrophoric alloys metaldehyde put up in forms or in packages for retail sale
370110,photographic plates and film in the flat sensitized unexposed of any material than paper paperboard or textiles instant print film in the flat sensitized unexposed whether or not in packs for x ray medical than dental
370120,photographic plates and film in the flat sensitized unexposed of any material than paper paperboard or textiles instant print film in the flat sensitized unexposed whether or not in packs instant print film for color photography polychrome
370130,photographic plates and film in the flat sensitized unexposed of any material than paper paperboard or textiles instant print film in the flat sensitized unexposed whether or not in packs plates and film with any side exceeding 255 mm
370191,photographic plates and film in the flat sensitized unexposed of any material than paper paperboard or textiles instant print film in the flat sensitized unexposed whether or not in packs for color photography polychrome disc film
370199,photographic plates and film in the flat sensitized unexposed of any material than paper paperboard or textiles instant print film in the flat sensitized unexposed whether or not in packs dry plates graphic arts film
370210,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed for x ray medical than dental
370231,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width not exceeding 105 mm for color photography polychrome
370232,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width not exceeding 105 mm with silver halide emulsion microfilm
370239,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width not exceeding 105 mm
370241,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width exceeding 105 mm of a width exceeding 610 mm and of a length exceeding 200 m for color photography polychrome
370242,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width exceeding 105 mm of a width exceeding 610 mm and of a length exceeding 200 m than for color photography
370243,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width exceeding 105 mm of a width exceeding 610 mm and of a length not exceeding 200 m
370244,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film without perforations of a width exceeding 105 mm of a width exceeding 105 mm but not exceeding 610 mm graphic arts film
370252,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film for color photography polychrome of a width not exceeding 16 mm reversal color film
370253,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film for color photography polychrome of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m for slides 35 mm
370254,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film for color photography polychrome of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m than for slides 35 mm
370255,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film for color photography polychrome of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m reversal color film
370256,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed film for color photography polychrome of a width exceeding 35 mm motion picture film
370296,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed of a width not exceeding 35 mm and of a length not exceeding 30 m
370297,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed of a width not exceeding 35 mm and of a length exceeding 30 m
370298,photographic film in rolls sensitized unexposed of any material than paper paperboard or textiles instant print film in rolls sensitized unexposed of a width exceeding 35 mm
370310,photographic paper paperboard and textiles sensitized unexposed in rolls of a width exceeding 610 mm silver halide papers for pictorial use continuous tone line reproduction for color photography polychrome
370320,photographic paper paperboard and textiles sensitized unexposed for color photography polychrome silver halide papers for pictorial use continuous tone line reproduction
370390,photographic paper paperboard and textiles sensitized unexposed silver halide papers for pictorial use continuous tone line reproduction in sheets
370400,photographic plates film paper paperboard and textiles exposed but not developed
370500,photographic plates and film exposed and developed than cinematographic film
370610,motion picture film exposed and developed whether or not incorporating sound track or consisting only of sound track of a width of 35 mm or more sound recordings on motion picture film suitable for use in connection with motion picture exhibits feature films positive release prints
370690,motion picture film exposed and developed whether or not incorporating sound track or consisting only of sound track positive release prints
370710,chemical preparations for photographic uses than varnishes glues adhesives and similar preparations unmixed products for photographic uses put up in measured portions or put up for retail sale in a form ready for use sensitizing emulsions for use in color negative photographic paper
370790,chemical preparations for photographic uses than varnishes glues adhesives and similar preparations unmixed products for photographic uses put up in measured portions or put up for retail sale in a form ready for use unmixed products for photographic uses put up in measured portions or put up for retail sale in a form ready for use chemical preparations for photographic uses acid violet 19 unsensitized emulsions for use in color negative photographic paper couplers for use in color negative photographic paper coupler dispersions for use in color negative photographic paper
380110,artificial graphite colloidal or semi colloidal graphite preparations based on graphite or carbon in the form of pastes blocks plates or semimanufactures artificial graphite plates rods powder and forms wholly or partly manufactured for manufacturing into brushes for electric generators motors or machines or appliances
380120,artificial graphite colloidal or semi colloidal graphite preparations based on graphite or carbon in the form of pastes blocks plates or semimanufactures colloidal or semi colloidal graphite
380130,artificial graphite colloidal or semi colloidal graphite preparations based on graphite or carbon in the form of pastes blocks plates or semimanufactures carbonaceous pastes for electrodes and similar pastes for furnace linings
380190,artificial graphite colloidal or semi colloidal graphite preparations based on graphite or carbon in the form of pastes blocks plates or semimanufactures
380210,activated carbon activated natural mineral products animal black including spent animal black activated carbon derived from coal derived from coconut
380290,activated carbon activated natural mineral products animal black including spent animal black bone black activated clays and activated earths
380300,tall oil whether or not refined
380400,residual lyes from the manufacture of wood pulp whether or not concentrated desugared or chemically treated including lignin sulfonates but excluding tall oil of heading 3803 lignin sulfonic acid and its salts
380510,gum wood or sulfate turpentine and terpenic oils produced by the distillation or treatment of coniferous woods crude dipentene sulfite turpentine and crude para cymene pine oil containing alpha terpineol as the main constituent gum wood or sulfate turpentine oils
380590,gum wood or sulfate turpentine and terpenic oils produced by the distillation or treatment of coniferous woods crude dipentene sulfite turpentine and crude para cymene pine oil containing alpha terpineol as the main constituent pine oil
380610,rosin and resin acids and derivatives thereof rosin spirit and rosin oils run gums rosin and resin acids gum rosin
380620,rosin and resin acids and derivatives thereof rosin spirit and rosin oils run gums salts of rosin of resin acids or of derivatives of rosin or resin acids than salts of rosin adducts
380630,rosin and resin acids and derivatives thereof rosin spirit and rosin oils run gums ester gums
380690,rosin and resin acids and derivatives thereof rosin spirit and rosin oils run gums
380700,wood tar wood tar oils wood creosote wood naphtha vegetable pitch brewers pitch and similar preparations based on rosin resin acids or on vegetable pitch
380852,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers good specified in subheading note 1 to this chapter ddt iso clofenatone inn in packings of a net weight content not exceeding 300 g
380859,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers good specified in subheading note 1 to this chapter containing any aromatic or modified aromatic pesticide disinfectants
380861,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers good specified in subheading note 2 to this chapter in packings of a net weight content not exceeding 300 g containing any aromatic or modified aromatic pesticide
380862,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers good specified in subheading note 2 to this chapter in packings of a net weight content exceeding 300 g but not exceeding 7 5 kg containing any aromatic or modified aromatic pesticide
380869,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers good specified in subheading note 2 to this chapter containing any aromatic or modified aromatic pesticide
380891,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers insecticides fly ribbons ribbon fly catchers containing any aromatic or modified aromatic insecticide containing an inorganic substance mixtures of n 4 chlorophenyl amino carbonyl 2 6 difluorobenzamide and inert substances
380892,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers fungicides containing any aromatic or modified aromatic fungicide mixtures of dinocap and application adjuvants containing any fungicide which is a thioamide thiocarbamate dithiocarbamate thiuram or isothiocyanate containing an inorganic substance maneb zineb mancozeb and metiram formulated fungicides containing any 3 iodoprop 2 yn 1 yl butylcarbamate ipbc
380893,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers herbicides anti sprouting products and plant growth regulators containing any aromatic or modified aromatic herbicide anti sprouting agent or plant growth regulator mixtures of 2 6 dichlorobenzonitrile and inerts mixtures of 3 5 dichloro n 1 1 dimethyl 2 propynyl benzamide pronamide and application adjuvants mixtures of 2 1 ethoxyimino butyl 5 2 ethylthiopropyl 3 hydroxy 2 cyclohexen 1 one sethoxydim and application adjuvants mixtures of ethyl 2 4 6 chloro 2 benzoxazolyl oxy phenoxy propanoate fenoxaprop ethyl and isooctyl 2 4 dichlorophenoxyacetate mixtures of isooctyl 2 methyl 4 chlorophen oxyacetate and application adjuvants containing an inorganic substance mixtures of 2 amino 4 hydroxy methyl phosphonoyl butanoic acid glufosinate or its salts or esters and application adjuvants
380894,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers disinfectants containing any aromatic or modified aromatic disinfectant
380899,insecticides rodenticides fungicides herbicides antisprouting products and plant growth regulators disinfectants and similar products put up in forms or packings for retail sale or as preparations or articles for example sulfur treated bands wicks and candles and flypapers containing any aromatic or modified aromatic pesticide mixtures of 1 1 bis 4 chlorophenyl 2 2 2 trichloroethanol dicofol and application adjuvants formulated biocides based on 2 methyl 4 isothiazolin 3 one or 2 n octyl 4 isothiazolin 3 one or 4 5 dichloro 2 n octyl 4 isothiazolin 3 one or mixtures of 5 chloro 2 methyl 4 isothiazolin 3 one and 2 methyl 4 isothiazolin 3 one and metaldehyde containing an inorganic substance
380910,finishing agents dye carriers to accelerate the dyeing or fixing of dyestuffs and products and preparations for example dressings and mordants of a kind used in the textile paper leather or like industries not elsewhere specified or included with a basis of amylaceous substances
380991,finishing agents dye carriers to accelerate the dyeing or fixing of dyestuffs and products and preparations for example dressings and mordants of a kind used in the textile paper leather or like industries not elsewhere specified or included of a kind used in the textile or like industries
380992,finishing agents dye carriers to accelerate the dyeing or fixing of dyestuffs and products and preparations for example dressings and mordants of a kind used in the textile paper leather or like industries not elsewhere specified or included of a kind used in the paper or like industries containing 5 percent or more by weight of one or more aromatic or modified aromatic substances
380993,finishing agents dye carriers to accelerate the dyeing or fixing of dyestuffs and products and preparations for example dressings and mordants of a kind used in the textile paper leather or like industries not elsewhere specified or included of a kind used in the leather or like industries containing 5 percent or more by weight of one or more aromatic or modified aromatic substances
381010,pickling preparations for metal surfaces fluxes and auxiliary preparations for soldering brazing or welding soldering brazing or welding powders and pastes consisting of metal and materials preparations of a kind used as cores or coatings for welding electrodes or rods pickling preparations for metal surfaces soldering brazing or welding powders and pastes consisting of metal and materials
381090,pickling preparations for metal surfaces fluxes and auxiliary preparations for soldering brazing or welding soldering brazing or welding powders and pastes consisting of metal and materials preparations of a kind used as cores or coatings for welding electrodes or rods containing 5 percent or more by weight of one or more aromatic or modified aromatic substances consisting wholly of inorganic substances
381111,antiknock preparations oxidation inhibitors gum inhibitors viscosity improvers anti corrosive preparations and prepared additives for mineral oils including gasoline or for liquids used for the same purposes as mineral oils antiknock preparations based on lead compounds based on tetraethyl lead or on a mixture of tetraethyl lead and tetramethyl lead
381119,antiknock preparations oxidation inhibitors gum inhibitors viscosity improvers anti corrosive preparations and prepared additives for mineral oils including gasoline or for liquids used for the same purposes as mineral oils antiknock preparations
381121,antiknock preparations oxidation inhibitors gum inhibitors viscosity improvers anti corrosive preparations and prepared additives for mineral oils including gasoline or for liquids used for the same purposes as mineral oils additives for lubricating oils containing petroleum oils or oils obtained from bituminous minerals
381129,antiknock preparations oxidation inhibitors gum inhibitors viscosity improvers anti corrosive preparations and prepared additives for mineral oils including gasoline or for liquids used for the same purposes as mineral oils additives for lubricating oils
381190,antiknock preparations oxidation inhibitors gum inhibitors viscosity improvers anti corrosive preparations and prepared additives for mineral oils including gasoline or for liquids used for the same purposes as mineral oils
381210,prepared rubber accelerators compound plasticizers for rubber or plastics not elsewhere specified or included antioxidizing preparations and compound stabilizers for rubber or plastics prepared rubber accelerators containing any aromatic or modified aromatic rubber accelerator
381220,prepared rubber accelerators compound plasticizers for rubber or plastics not elsewhere specified or included antioxidizing preparations and compound stabilizers for rubber or plastics compound plasticizers for rubber or plastics containing any aromatic or modified aromatic plasticizer
381231,prepared rubber accelerators compound plasticizers for rubber or plastics not elsewhere specified or included antioxidizing preparations and compound stabilizers for rubber or plastics anti oxidizing preparations and compound stabilizers for rubber or plastics mixtures of oligomers of 2 2 4 trimethyl 1 2 dihydroquinoline tmq
381239,prepared rubber accelerators compound plasticizers for rubber or plastics not elsewhere specified or included antioxidizing preparations and compound stabilizers for rubber or plastics anti oxidizing preparations and compound stabilizers for rubber or plastics containing any aromatic or modified aromatic antioxidant or stabilizer master batches of poly nitrilomethanetetraaryl nitrilo 2 4 6 tris 1 methylethyl 1 3 phenylene 2 6 bis 1 methylethyl phenyl ω 2 6 bis 1 methylethyl phenyl amino methylene amino carbodiimide or 2 4 diisocyanate 1 3 5 tris 1 methylethyl benzene homopolymer with polyethylene polyethylene terephthalate or thermoplastic polyurethanes master batches of 3 2h benzotriazol 2 yl 5 tert butyl 4 hydroxybenzenepropanoic acid c7 c9 branched or linear alkyl esters andmaster batches of α 3 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1 oxopropyl ω 3 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1 oxo propyl poly oxyethylene bis 1 2 2 6 6 pentamethyl 4 piperidinyl sebacate mixtures of n n diaryl p phenylenediamines
381300,preparations and charges for fire extinguishers charged fire extinguishing grenades consisting wholly of inorganic substances
381400,organic composite solvents and thinners not elsewhere specified or included prepared paint or varnish removers containing 5 percent or more but not more than 25 percent by weight of one or more aromatic or modified aromatic substances containing more than 25 percent by weight of one or more aromatic or modified aromatic substances containing methyl chloroform 1 1 1 trichloro ethane or carbon tetrachloride
381511,reaction initiators reaction accelerators and catalytic preparations not elsewhere specified or included supported catalysts with nickel or nickel compounds as the active substance
381512,reaction initiators reaction accelerators and catalytic preparations not elsewhere specified or included supported catalysts with precious metal or precious metal compounds as the active substance
381519,reaction initiators reaction accelerators and catalytic preparations not elsewhere specified or included supported catalysts
381590,reaction initiators reaction accelerators and catalytic preparations not elsewhere specified or included consisting wholly of inorganic substances of mercury or of molybdenum of bismuth of tungsten or of vanadium
381600,refractory cements mortars concretes and similar compositions than products of heading 3801 clay
381700,mixed alkylbenzenes and mixed alkylnaphthalenes than those of heading 2707 or 2902 mixed alkylbenzenes mixed alkylnaphthalenes mixed linear alkylbenzenes
381800,chemical elements doped for use in electronics in the form of discs wafers or similar forms chemical compounds doped for use in electronics gallium arsenide wafers doped
381900,hydraulic brake fluids and prepared liquids for hydraulic transmission not containing or containing less than 70 percent by weight of petroleum oils or oils obtained from bituminous minerals hydraulic brake fluids
382000,antifreezing preparations and prepared deicing fluids
382100,prepared culture media for development or maintenance of micro organisms including viruses and the like or of plant human or animal cells
382200,diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing than those of heading 3002 or 3006 certified reference materials certified reference materials diagnostic or laboratory reagents on a backing prepared diagnostic or laboratory reagents whether or not on a backing than those of heading 3002 or 3006 containing antigens or antisera containing methyl chloroform 1 1 1 trichloro ethane or carbon tetrachloride
382311,industrial monocarboxylic fatty acids acid oils from refining industrial fatty alcohols industrial monocarboxylic fatty acids acid oils from refining stearic acid
382312,industrial monocarboxylic fatty acids acid oils from refining industrial fatty alcohols industrial monocarboxylic fatty acids acid oils from refining oleic acid
382313,industrial monocarboxylic fatty acids acid oils from refining industrial fatty alcohols industrial monocarboxylic fatty acids acid oils from refining tall oil fatty acids containing less than two percent rosin
382319,industrial monocarboxylic fatty acids acid oils from refining industrial fatty alcohols industrial monocarboxylic fatty acids acid oils from refining derived from coconut palm kernel or palm oil
382370,industrial monocarboxylic fatty acids acid oils from refining industrial fatty alcohols industrial fatty alcohols derived from fatty substances of animal or vegetable origin oleyl
382410,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included prepared binders for foundry molds or cores
382430,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included nonagglomerated metal carbides mixed together or with metallic binders
382440,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included prepared additives for cements mortars or concretes containing 5 percent or more by weight of one or more aromatic or modified aromatic substances consisting wholly of inorganic substances
382450,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included nonrefractory mortars and concretes wet
382460,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included sorbitol than that of subheading 2905 44
382471,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing chlorofluorocarbons cfcs whether or not containing hydrochlorofluorocarbons hcfcs perfluorocarbons pfcs or hydrofluorocarbons hfcs
382472,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing bromochlorodifluoromethane bromotrifluoromethane or dibromotetrafluoroethanes
382473,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing hydrobromofluorocarbons hbfcs
382474,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing hydrochlorofluorocarbons hcfcs whether or not containing perfluorocarbons pfcs or hydrofluorocarbons hfcs but not containing chlorofluorocarbons cfcs
382475,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing carbon tetrachloride
382476,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing 1 1 1 trichloroethane methyl chloroform
382477,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing bromomethane methyl bromide or bromochloromethane
382478,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane containing perfluorocarbons pfcs or hydrofluorocarbons hfcs but not containing chlorofluorocarbons cfcs or hydrochlorofluorocarbons hcfcs hydrofluorocarbon refrigerant blends specified in statistical note 2 to this chapter
382479,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures containing halogenated derivatives of methane ethane or propane chlorinated but not wise halogenated
382481,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing oxirane ethylene oxide
382482,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing polychlorinated biphenyls pcbs polychlorinated terphenyls pcts or polybrominated biphenyls pbbs chlorinated but not wise halogenated
382483,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing tris 2 3 dibromopropyl phospate
382484,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing aldrin iso camphechlor iso toxaphene chlordane iso chlordecone iso ddt iso clofenatone inn 1 1 1 trichloro 2 2 bis p chlorophenyl ethane dieldrin iso inn endosulfan iso endrin iso heptachlor iso or mirex iso
382485,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing 1 2 3 4 5 6 hexachlorocyclohexane hch iso including lindane iso inn
382486,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing pentachlorobenzene iso or hexachlorobenzene iso
382487,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing perfluorooctane sulfonic acid its salts perfluorooctane sulfonamides or perfluorooctane sulfonyl fluoride
382488,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included goods specified in subheading note 3 to this chapter containing tetra penta hexa hepta or octabromodiphenyl ethers
382491,prepared binders for foundry molds or cores chemical products and preparations of the chemical or allied industries including those consisting of mixtures of natural products not elsewhere specified or included mixtures and preparations consisting mainly of 5 ethyl 2 methyl 2 oxido3 2 dioxaphosphinan 5 yl methyl methylphosphonate and bis 5 ethyl 2 methyl 2 oxido 1 3 2 dioxaphosphinan 5 yl methyl methylphosphonate
