text,label,Index
"bicycle electric bicycles freight collect h.s code : xxxx xxxx also notify: trek bicycle corporation 801 west madison street waterloo, wi xxxx4 atjodi gracey email: import trekbikes.combicycle electric bicycles freight collect h.s code : xxxx xxxx also notify: trek bicycle corporation 801 west madison street waterloo, wi xxxx4 atjodi gracey email: import trekbikes.com",871200,28
bicyclebicycle bicycle (hs xxxx00 po xxxx2/xxxx0 ),871200,29
"non-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collectnon-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collectnon-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collectnon-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collectnon-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collectnon-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collectnon-negotiable waybill release shipper s load, count & weight 7 containers contain xxxx ctns bicycles & bicyle parts h.s.code:xxxx xxxx xxxx sc# xxxx040 ++changhua county xxxx5,taiwan +++(801) 886-xxxx ext xxxx freight collect",871200,30
complete bikescomplete bikescomplete bikescomplete bikes,871200,31
"xxxx boxes bananas origin: guatemala 3 w 40rc containers net weight: 55,207.20kgs 121,711.03lbs attached ridersxxxx boxes bananas origin: guatemala 3 w 40rc containers net weight: 55,207.20kgs 121,711.03lbs attached ridersxxxx boxes bananas origin: guatemala 3 w 40rc containers net weight: 55,207.20kgs 121,711.03lbs attached riders",871200,32
tricycles scooters pedal cars and similar w po no xxxxxxxx645-xxxx9 sku no. xxxx93 case pack 24 pcs qty 21 504 desc. balloon weight patriotic,871200,33
bicycle and parts bicycle and parts . h.s code xxxx the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same,871200,34
"fairing, assy, rear hercules rev. r08 part no. 400-xxxx6 po no. xxxx927 line7 q ty 960 pcs n-weight xxxx kg g-weight xxxx kg dkvsxxxx18-1-9",871200,35
tricycles scooters pedal cars and similar w wodzeez toy lil woodzeez camper playset tricycles scooters pedal cars and similar w wodzeez toy furniture sets assortments tricycles scooters pedal cars and similar w wodzeez toy li l woodzeez medium playsetstricycles scooters pedal cars and similar w woodze woodzeez babeez assortment s1 tricycles scooters pedal cars and similar w wodzeez toy li l woodzeez food truck tricycles scooters pedal cars and similar w wodzeez toy li l woodzeez medium playsets tricycles scooters pedal cars and similar w wodzeez toy li l woodzeez duck family tricycles scooters pedal cars and similar w woodze li l woodzeez small playsetstricycles scooters pedal cars and similar w wodzeez toy li l woodzeez medium playsets tricycles scooters pedal cars and similar w woodze li l woodzeez treehouse playse t w crank elevator tricycles scooters pedal cars and similar w woodze li l woodzeez small playsets tricycles scooters pedal cars and similar w woodze li l woodzeez sidewalk connect or set,871200,36
bicycle po xxxxxxxx67 hts code xxxx00 s/c 18-xxxx seaway bill ams prepaid if applicable cpsia url -www.costco cpsia.com,871200,37
"bicycle 20 bicycle 24 bicycle po# 59i7f23q (hts xxxx @district, ningbo,china on behalf of futurux global limited @@@michaele@carmnet.com staci davis stacid@carmnet.com @@@@accell logistics logistics@accellna.com",871200,38
po#:xxxxxxxx item#xxxx/280 cartons exerpeuticfolding recumbent bike and item#xxxx/200 cartons exerpeutic x recumbent bike this shipmentcontains no solid wood packing materials,871200,39
wheels itw32un 50 blk rear stabilizer wheels,871200,40
"shipper s load, count & seal (xxxxctns) cy / cy copy non-negotiable b/l release procedures xxxx(ct) bicycle po#xxxx-xxxx951 hs code:xxxx00 thc/doc fee collect s/c#xxxx004 the shipment doesn t contain any solid wood material freight collect sea way bill of lading xxxx0(kgm) 241.53(mtq) no wood packaging material freight collect equipment substitution per rule 2.30shipper s load, count & seal (xxxxctns) cy / cy copy non-negotiable b/l release procedures xxxx(ct) bicycle po#xxxx-xxxx951 hs code:xxxx00 thc/doc fee collect s/c#xxxx004 the shipment doesn t contain any solid wood material freight collect sea way bill of lading xxxx0(kgm) 241.53(mtq) no wood packaging material freight collect equipment substitution per rule 2.30shipper s load, count & seal (xxxxctns) cy / cy copy non-negotiable b/l release procedures xxxx(ct) bicycle po#xxxx-xxxx951 hs code:xxxx00 thc/doc fee collect s/c#xxxx004 the shipment doesn t contain any solid wood material freight collect sea way bill of lading xxxx0(kgm) 241.53(mtq) no wood packaging material freight collect equipment substitution per rule 2.30shipper s load, count & seal (xxxxctns) cy / cy copy non-negotiable b/l release procedures xxxx(ct) bicycle po#xxxx-xxxx951 hs code:xxxx00 thc/doc fee collect s/c#xxxx004 the shipment doesn t contain any solid wood material freight collect sea way bill of lading xxxx0(kgm) 241.53(mtq) no wood packaging material freight collect equipment substitution per rule 2.30",871200,41
schwinn 230 recumbent bikeschwinn 230 recumbent bike,871200,42
"shipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collectshipper s load, count & seal (xxxxctns) cy / dr copy non-negotiable b/l release procedures bicycles hs code:xxxx00 +e-mail:dancey@battle-fsd.com +++fax: 704-571-xxxx email:keonia.reed@damco.com ++++e-mail: jvale@pacific-cycle.com freight collect",871200,43
exerpeutic recumbent bike,871200,44
bicycles hs code: xxxx00bicycles hs code: xxxx00bicycles hs code: xxxx00,871200,45
bicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedule,871200,46
bicycle bicycle h.s code xxxx,871200,47
magnetic bike treadmill exercise bike,871200,48
bicycles oth cycles (inc del tricycle) no m bicycle fax (852)xxxx226 4 fax 310-988-xxxxbicycles oth cycles (inc del tricycle) no m bicycle fax (852)xxxx226 4 fax 310-988-xxxxbicycles oth cycles (inc del tricycle) no m bicycle fax (852)xxxx226 4 fax 310-988-xxxxbicycles oth cycles (inc del tricycle) no m bicycle fax (852)xxxx226 4 fax 310-988-xxxxbicycles oth cycles (inc del tricycle) no m bicycle fax (852)xxxx226 4 fax 310-988-xxxx,871200,49
bicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx2-1 mxxxx9 there is no solid wood packing material in this shipment fax-973-434-xxxxbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx2-1 mxxxx9 there is no solid wood packing material in this shipment fax-973-434-xxxxbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx2-1 mxxxx9 there is no solid wood packing material in this shipment fax-973-434-xxxxbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx2-1 mxxxx9 there is no solid wood packing material in this shipment fax-973-434-xxxxbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx2-1 mxxxx9 there is no solid wood packing material in this shipment fax-973-434-xxxxbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx2-1 mxxxx9 there is no solid wood packing material in this shipment fax-973-434-xxxx,871200,50
"e-push b/l draft to shipper code:xxxxxxxx72 bicycle and parts freight collect h.s code : xxxx also notify: expeditors international - chicago 849 thomas drive bensenville, il xxxx6 attn: nick wheat email : ord-trek expeditors.com phone: 630-787-xxxxe-push b/l draft to shipper code:xxxxxxxx72 bicycle and parts freight collect h.s code : xxxx also notify: expeditors international - chicago 849 thomas drive bensenville, il xxxx6 attn: nick wheat email : ord-trek expeditors.com phone: 630-787-xxxx",871200,51
dramix 3d 55/60bl nw xxxx0 kg,871200,52
bicycles bicycles costco po#xxxx-xxxx-572 item# xxxx176 qty 324sets hts#xxxxxxxx00 . if applicable cpsia url - www.costcocpsia.com this shpt does not contain any solid wood packing material.,871200,53
bicycle and parts bicycle and parts h.s code xxxx,871200,54
bicycles hs code:xxxxbicycles hs code:xxxx,871200,55
bicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipmentbicycles oth cycles (inc del tricycle) no m bicycle kent purchase order mxxxx0 mxxxx2 mxxxx5-1 mxxxx4-3 mxxxx6 there is no solid wood packing material in this shipment,871200,56
bicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phonebicycle hs code xxxx00 s c chibxxxx7 phone,871200,57
aluminum motorcycle wheels per poxxxx7 23-xxxx7-1 3.50 x 17 front cast wheel assembly 23-xxxx7-1 5.50 x 17 rear cast wheelassembly 10 pallets containing 325 package,871200,58
bicycles hs code:xxxx .,871200,59
bicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedule,871200,60
bikes po= poxxxx6/poxxxx9 this shipment cont ains no solid wood packing material hs code= xxxx00bikes po= poxxxx6/poxxxx9 this shipment cont ains no solid wood packing material hs code= xxxx00,871200,61
"bicycle and parts electric bicycles freight collect h.s code: xxxx xxxx also notify: expeditors international - chicago 849 thomas drive bensenville, il xxxx6 attn: nick wheat email : ord-trek expeditors.com phone: 630-787-xxxxbicycle and parts electric bicycles freight collect h.s code: xxxx xxxx also notify: expeditors international - chicago 849 thomas drive bensenville, il xxxx6 attn: nick wheat email : ord-trek expeditors.com phone: 630-787-xxxx",871200,62
bicycle un no. xxxx imo class 9 bicycle h.s code xxxxbicycle,871200,63
"bicyclesbicyclesbicycles bicycles,16 b mng mutant bicycles,16 g mga lol surprise pink (hs xxxxxxxx10 xxxxxxxx1 ) @@@fax 704-571-xxxx @@@email keonia.reed@damco.com @@@@e-mail jvale@pacific-cycle.com the same the same the same the same",871200,64
tricycles scooters pedal cars and similar w tickle monster plush hands,871200,65
"sticker sticker bike spokes bike bell bike horn dept xxxx po xxxx132 @guangzhou, guangdong province,china @tel 020-xxxxxxxx @@fax 612-304-xxxx",871200,66
tricycles scooters pedal cars and similar w kazam balance bike toy tel no xxxx552 2 fax no xxxxxxxx e-mail alice wsportstrading.comtricycles scooters pedal cars and similar w kazam balance bike toy tel no xxxx552 2 fax no xxxxxxxx e-mail alice wsportstrading.comtricycles scooters pedal cars and similar w kazam balance bike toy tel no xxxx552 2 fax no xxxxxxxx e-mail alice wsportstrading.comtricycles scooters pedal cars and similar w kazam balance bike toy tel no xxxx552 2 fax no xxxxxxxx e-mail alice wsportstrading.com,871200,67
bikes hs code: xxxx00,871200,68
complete bicycles & bicycle parts & electric bicycles hs code xxxx(complete bicycles) xxxx. (bicycle parts) xxxx(electric bicycles) . . . .,871200,69
bicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs atbicycles oth cycles (inc del tricycle) no m bicycles guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical declare to clear customs at,871200,70
bicycles oth cycles (inc del tricycle) no m bicycles bicycle parts guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing matericalbicycles oth cycles (inc del tricycle) no m bicycles bicycle parts guxxxx1gck-e i certify that this shipment of commodity contains no solid wood packing materical,871200,71
fitness equipment (curve treadmill),871200,72
"e-push draft to shipper code:xxxxxxxx72 bicycle and parts freight collect h.s code : xxxx also notify: expeditors international - chicago 849 thomas drive bensenville, il xxxx6 attn: nick wheat email : ord-trek expeditors.com phone: 630-787-xxxx",871200,73
"shipper s load, count & seal (800ctns) cy / cy copy non-negotiable b/l release procedures 800(ct) bicycle hi ghland;24 g 7spd po#xxxx-xxxx387 hs code:xxxx00 thc/doc fee collect s/c#xxxx004 the shipment doesn t contain any solid wood material freight collect sea way bill of lading xxxx0(kgm) 140.297(mtq) no wood packaging material freight collectshipper s load, count & seal (800ctns) cy / cy copy non-negotiable b/l release procedures 800(ct) bicycle hi ghland;24 g 7spd po#xxxx-xxxx387 hs code:xxxx00 thc/doc fee collect s/c#xxxx004 the shipment doesn t contain any solid wood material freight collect sea way bill of lading xxxx0(kgm) 140.297(mtq) no wood packaging material freight collect",871200,74
58 packages volvo loader parts 430-xxxx34 xxxx7 kg 55.17 cbm,871200,75
tricycles scooters pedal cars and similar w ourgen fashion accessories assortment (w o pdq) - sandals dpci xxxxxxxx1 qty xxxx pcs,871200,76
"dok xxxx24 xxxxxxxx idjkt xxxx00 peb xxxx cartons 29,696 pcs of 55 linen 45 cotton woven ladies s/less yarn blouse w/tie front hem po no. : 383, 471, 288, 350, 472, 408 style no. : lttxxxx freight collect",871200,77
bicycle and bicycle partsbicycle and bicycle partsbicycle and bicycle parts bicycle & bicycle parts hs code xxxx00/ xxxxxxxx00 the same the same the same the same the samebicycle and bicycle parts,871200,78
wheels&tires&cargo carrierwheels&tires&cargo carrierwheels&tires&cargo carrier,871200,79
"bicycles bicycle parts po xxxx980/xxxx979-1 hs code:xxxx.xxxx xxxx.xxxx xxxx.xxxx xxxx.xxxx xxxx.xxxx ship to: j b importers, inc. xxxx5 sw 128th st. miami, fl xxxx6 second notify party expeditors international xxxx5 nw 19th st. suite 107 miami, fl xxxx2 phone:305-592-xxxx fax:305-592-xxxx attn:magaly jbimporters-mia expeditors.com freight collect",871200,80
tricycles scooters pedal cars and similar w disney ride on tricycles scooters pedal cars and similar w disney ride on,871200,81
"gt radial brand tires (commercial value) c/n o.cxxxx7(fjxxxx329) fjxxxx329a 1x20gp (1x20gp=1x20dv) freight collect freight payable at tokyo, japan port of discharge: hamilton, bermuda total:four hundred and ninety-two packages only fax:(65) xxxx xxxx)",871200,82
bicycles & bicycle parts & e-bikes h.s.code:xxxxbicycles & bicycle parts & e-bikes h.s.code:xxxx,871200,83
sunny health& fitnesss sf-txxxx sf-txxxx sf-txxxx treadmillsunny health& fitnesss sf-txxxx sf-txxxx sf-txxxx treadmillsunny health& fitnesss sf-txxxx sf-txxxx sf-txxxx treadmill,871200,84
tricycles scooters pedal cars and similar w ninja fig ninja mini figures dpci no.087 xxxx26 style no.xxxx6 dpci xxxxxxxx6 qty xxxx pcs,871200,85
bicycles bicycles costco po#171-xxxx-745 item# xxxx179 qty 324sets hts#xxxxxxxx00 . if applicable cpsia url - www.costcocpsia.com this shpt does not contain any solid wood packing material. @ tel xxxx-xxxxxxxx fax xxxx-xxxxxxxx,871200,86
bicycle bicycle hs code xxxx . @r.e.a. c.c.i.a.a. mi xxxx809 registro imprese milano xxxxxxxx153 tel. +39 02 952 44 213 fax +xxxxxxxxxxxx attn yama lin e-mail ylin@gruppospa.com @@attn. peggy decker phone (908) 967-xxxx the same the same the same the same the same the same the same the same the same the same the same the same the same the same the same,871200,87
bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .bicycles hs code xxxx.xxxx .,871200,88
bike bike tractor joint 12.5 kg glide tech cabinet 3pc flat sheet set violin case,871200,89
electric treadmill electric treadmill the same the same the same the same,871200,90
portable treadmills,871200,91
treadmill recumbent bike and spare parts,871200,92
bicycles oth cycles (inc del tricycle) no m 930 kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m 930 kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m 930 kent brand bicycle conforming to kent purchase order specifications per the following kent shipping schedule,871200,93
bicycles oth cycles (inc del tricycle) no m 906 kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m 906 kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m 906 kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedule,871200,94
packed in 29 pallets & 01 w/tray ew497 - em wheel assy-19.50/2.5x25-3pc cus-part-no:xxxxxxxx01nk,871200,95
tricycles scooters pedal cars and similar w asst lut pad boy girl 4pk po no. xxxxxxxx71 item no. xxxxxxxx00 qty xxxx as no wpmtricycles scooters pedal cars and similar w asst lut pad boy girl 4pk po no. xxxxxxxx71 item no. xxxxxxxx00 qty xxxx as no wpm,871200,96
