hts,short_desc,long_desc,naics
102390034,"BUFFALO, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI","BUFFALO, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR",11211X
102390038,"BUFFALO, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI","BUFFALO, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/O",11211X
102390054,"BUFFALO, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI","BUFFALO, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR",11211X
102390058,"BUFFALO, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI","BUFFALO, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/",11211X
102390061,BUFFALO FOR IMMEDIATE SLAUGHTER GT=320 KG EA NESOI,"BUFFALO, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102390072,"BUFFALO, LIVE FOR BREEDING MALE GT=320 KG EA NESOI","BUFFALO, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102390074,"BUFFALO, LIVE, BREEDING, FEMALE GT=320 KG EA NESOI","BUFFALO, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102390082,"BUFFALO, LIVE, MALE, WEIGHING GT=320 KG EACH NESOI","BUFFALO, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102390084,"BUFFALO, LIVE, FEMALE, WEIGHING GT=320 KG EA NESOI","BUFFALO, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102900000,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO","BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",11211X
103100000,"SWINE, PUREBRED BREEDING, LIVE","SWINE, PUREBRED BREEDING, LIVE",112210
103910010,"SWINE, LT 7 KG EACH, LIVE, EXC PUREBRED BREEDING","SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",112210
103910020,"SWINE, 7 KG TO LT 23 KG EA, LIVE, NESOI","SWINE, WEIGHING 7 KG OR MORE BUT LESS THAN 23 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",112210
103910030,"SWINE, 23 KG TO LT 50 KG EACH, LIVE, NESOI","SWINE, WEIGHING 23 KG OR MORE BUT LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",112210
103920010,"SWINE, GT=50 KG, IMMEDIATE SLAUGHTER, LIVE, NESOI","SWINE, WEIGHING 50 KG OR MORE EACH, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE, EXCEPT PUREBRED BREEDING",112210
103920020,"SWINE, GT=50 KG EACH, LIVE, BREEDING, NESOI","SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, BREEDING, EXCEPT PUREBRED, IMMEDIATE SLAUGHTER",112210
103920091,"SWINE, GT=50 KG EACH, LIVE, NESOI","SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, EXCEPT IMMEDIATE SLAUGHTER, PUREBRED BREEDING, BREEDING",112210
104100000,"SHEEP, LIVE","SHEEP, LIVE",112410
104200000,"GOATS, LIVE","GOATS, LIVE",112420
105110010,"CHICKENS, LT=185 G, BREEDING STOCK, EGG-TYPE, LIVE","CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE), LIVE",1123XX
105110020,"CHICKEN, LT=185 G, BREEDING STOCK, MEAT-TYPE, LIVE","CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, BROILER-TYPE (MEAT-TYPE), LIVE",1123XX
105110040,"CHICKENS, LT=185 G EA, LIVE, EXC BREEDING STOCK","CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, LIVE, EXCEPT BREEDING STOCK",1123XX
105120000,"TURKEYS, LT=185 G EACH, LIVE","TURKEYS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",1123XX
105130000,"DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE","DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",1123XX
105140000,"GEESE, WEIGHTING NOT MORE THAN 185 G EACH, LIVE","GEESE, WEIGHING NOT MORE THAN 185 G EACH, LIVE",1123XX
105150000,"GUINEA FOWLS, WEIGHT NO MORE THAN 185 G EACH, LIVE","GUINEA FOWLS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",1123XX
105940000,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE","LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",1123XX
105990000,"TURKEYS, DUCKS, GEESE AND GUINEAS, GT 185 G, LIVE","TURKEYS, DUCKS, GEESE AND GUINEA FOWLS, WEIGHING MORE THAN 185 G EACH, LIVE",1123XX
106110000,"PRIMATES, LIVE","PRIMATES, LIVE",112990
106120100,"WHALES, DOLPHINS, MANATEES, SEALS, ETC., LIVE","WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; SEALS, SEA LIONS AND WALRUSES, LIVE",112990
106130000,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE","CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",112990
106140000,"RABBITS AND HARES, LIVE","RABBITS AND HARES, LIVE",112930
106193000,"FOXES, LIVE","FOXES, LIVE",112930
106199120,"DOGS, LIVE","DOGS, LIVE",112990
106199195,"MAMMALS, LIVE, NESOI","MAMMALS, LIVE, NESOI",112990
106200000,"REPTILES (INCLUDING SNAKES AND TURTLES), LIVE","REPTILES (INCLUDING SNAKES AND TURTLES), LIVE",112990
106310000,"BIRDS OF PREY, LIVE","BIRDS OF PREY, LIVE",112990
106320000,"PSITTACIFORME-PARROT,PARAKEET,MACAW,COCKATOO, LIVE","PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS), LIVE",112990
106330000,"OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE","OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE",112990
106390100,"BIRDS, LIVE, NESOI","BIRDS, LIVE, NESOI",112990
106410000,"BEES, LIVE","BEES, LIVE",112910
106490010,"LARVAE OF LEAF CUTTER BEE, LIVE","LARVAE OF LEAF CUTTER BEE, LIVE",112910
106490090,"INSECTS, LIVE, NESOI","INSECTS, LIVE, OTHER THAN BEES OR LEAF CUTTER BEE LARVAE",112990
106900110,"WORMS, LIVE","WORMS, LIVE",112990
106900120,"BAIT, LIVE, EXCEPT WORMS","BAIT, LIVE, EXCEPT WORMS",112990
106900180,"ANIMALS, LIVE, NESOI","ANIMALS, LIVE, EXCEPT MAMMALS, REPTILES, BIRDS OR INSECTS, NESOI",112990
201100510,"CARCASSES/HALF-CARCASSES OF VEAL, FR/CH, GN 15","CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15",311611
201100590,"CARCASSES/HALF-CARCASS BOVINE, FR/CH, GN 15, NESOI","CARCASSES AND HALF-CARCASSES OF BOVINES, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, NESOI",311611
201101010,"CARCASSES/HALF-CARCASSES OF VEAL, FR/CH, US NOTE 3","CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",311611
201101090,"CARCASS/HALF-CARCASS BOV, FR/CH, US NOTE 3, NESOI","CARCASSES AND HALF-CARCASSES OF BOVINES, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, NESOI",311611
201105010,"CARCASSES/HALF-CARCASSES OF VEAL, FR/CH, NESOI","CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED, NESOI",311611
201105090,"CARCASSES/HALF-CARCASSES OF BOVINES, FR/CH, NESOI","CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FRESH OR CHILLED, NESOI",311611
201200200,"BEEF W/ BONE, HI-QLTY CUTS, PROCESSED, FR/CH GN 15","BEEF WITH BONE IN, HIGH-QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15",311611
201200400,"MEAT, BOVINE W/ BONE PROCESSED FR/CH GN 15 NESOI","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, NESOI",311611
201200600,"MEAT, BOVINE W/ BONE FR/CH GN 15 EXC PROCESSED","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED",311611
201201000,BEEF W/BONE HI-QLTY CUTS PROCESSED FR/CH US NOTE 3,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",311611
201203000,"MEAT, BOVINE  W/BONE PROCESD FR/CH US NOTE 3 NESOI","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, NESOI",311611
201205015,"MEAT, BVNE VEAL CUT W/BONE FR/CH US NT 3 EXC PRCSD","MEAT OF BOVINES, VEAL CUTS WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED",311611
201205025,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD, RIB","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS",311611
201205035,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,CHUCK","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS",311611
201205045,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,LOIN","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS",311611
201205055,"MEAT,BOVINE W/BNE FR/CH US NT 3 EXC PROCSD,BRISKET","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS",311611
201205065,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,HIP","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS",311611
201205075,"MEAT,BOV W/BNE FR/CH US NT 3 EXC PROCSD,FLNK/PLATE","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLAT",311611
201205085,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,NESO","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI",311611
201208010,"MEAT OF BISON, WITH BONE, FRESH OR CHILLED, NESOI","MEAT OF BISON, WITH BONE IN, FRESH OR CHILLED, NESOI",311611
201208090,"MEAT OF BOVINES, WITH BONE, FR/CH, NESOI","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, NESOI",311611
201300200,"BEEF, BONELESS HI-QLTY CUTS PROCESSED FR/CH GN 15","BEEF, BONELESS, HIGH-QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15",311611
201300400,"MEAT, BOVINE BONELESS PROCESSED FR/CH GN 15 NESOI","MEAT OF BOVINES, BONELESS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, NESOI",311611
201300600,"MEAT, BOVINE BONELESS FR/CH GN 15, EXC PROCESSED","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED",311611
201301000,BEEF BONELESS HI-QLTY CUTS PROCESD FR/CH US NOTE 3,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",311611
201303000,"MEAT, BOVINE BONELES PROCESD FR/CH US NOTE 3 NESOI","MEAT OF BOVINES, BONELESS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, NESOI",311611
201305015,"MEAT,BVN VEAL CUT BONELESS FR/CH US NT 3 EXC PRCSD","MEAT OF BOVINES, VEAL CUT BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED",311611
201305025,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,RIB","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS",311611
201305035,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,CHUCK","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS",311611
201305045,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,LOIN","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS",311611
201305055,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,BRISKET","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS",311611
201305065,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,HIP","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS",311611
201305075,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,FLANK","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CU",311611
201305085,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,NESOI","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI",311611
201308010,"MEAT OF BISON, BONELESS, FRESH OR CHILLED, NESOI","MEAT OF BISON, BONELESS, FRESH OR CHILLED, NESOI",311611
201308090,"MEAT OF BOVINES, BONELESS, FR/CH, NESOI","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, NESOI",311611
202100510,"CARCASSES/HALF-CARCASSES OF VEAL, FROZEN, GN 15","CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",311611
202100590,"CARCASSES/HALF-CARCASS BOVINE, FRZN, GN 15, NESOI","CARCASSES AND HALF-CARCASSES OF BOVINES, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, NESOI",311611
202101010,"CARCASSES/HALF-CARCASSES VEAL, FROZEN, US NOTE 3","CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN, AS SPECIFIED IN US NOTE 3",311611
202101090,"CARCASS/HALF-CARCASS BOV, FROZEN, US NOTE 3, NESOI","CARCASSES AND HALF-CARCASSES OF BOVINES, FROZEN, AS SPECIFIED IN US NOTE 3, NESOI",311611
202105010,"CARCASSES/HALF-CARCASSES OF VEAL, FROZEN, NESOI","CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN, NESOI",311611
202105090,"CARCASSES/HALF-CARCASSES OF BOVINES, FROZEN, NESOI","CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FROZEN, NESOI",311611
202200200,"BEEF W/ BONE, HI-QLTY CUTS, PROCESSED, FRZN GN 15.","BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",311611
202200400,"MEAT, BOVINE W/ BONE PROCESSED FRZN GN 15 NESOI","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, NESOI",311611
202200600,"MEAT, BOVINE W/ BONE FRZN GN 15 EXC PROCESSED","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED",311611
202201000,BEEF W/ BONE HI-QLTY CUTS PROCESSED FRZN US NOTE 3,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3",311611
202203000,"MEAT, BOVINE W/ BONE PROCESD, FRZN US NOTE 3 NESOI","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3, NESOI",311611
202205025,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED, RIB","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS",311611
202205035,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,CHUC","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS",311611
202205045,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,LOIN","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS",311611
202205055,"MEAT,BVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,BRSKT","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS",311611
202205065,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,HIP","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS",311611
202205075,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,FLNK","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS",311611
202205085,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,NESO","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI",311611
202208000,"MEAT OF BOVINES, WITH BONE, FROZEN, NESOI","MEAT OF BOVINES, WITH BONE IN, FROZEN, NESOI",311611
202300200,"BEEF, BONELESS HI-QLTY CUTS PROCESSED FROZEN GN 15","BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",311611
202300400,"MEAT, BOVINE BONELESS PROCESSED FROZEN GN 15 NESOI","MEAT OF BOVINES, BONELSESS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, NESOI",311611
202300600,"MEAT, BOVINE BONELESS FROZEN GN 15, EXC PROCESSED","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED",311611
202301000,"BEEF, BONELESS HI-QLTY CUTS PROCESD FRZN US NOTE 3","BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3",311611
202303000,"MEAT, BOVINE BONELESS PROCESD FRZN US NOTE 3 NESOI","MEAT OF BOVINES, BONELESS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3, NESOI",311611
202305015,"MEAT,BVNE VEAL CUT BONELESS FRZN US NT3 EXC PRCESD","MEAT OF BOVINES, VEAL CUT BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED",311611
202305025,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, RIB","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS",311611
202305035,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, CHUCK","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS",311611
202305045,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, LOIN","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS",311611
202305055,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, BRSKT","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS",311611
202305065,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, HIP","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS",311611
202305075,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, FLNK","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS",311611
202305085,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, NESOI","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI",311611
202308000,"MEAT OF BOVINES, BONELESS, FROZEN, NESOI","MEAT OF BOVINES, BONELESS, FROZEN, NESOI",311611
